FechaEmision;Año;Mes;Tipo de Comprobante;Nro. Doc. Receptor;DenominacionReceptor;IVA 10,5%;Imp. Neto Gravado IVA 10,5%;IVA 21%;Imp. Neto Gravado IVA 21%;IVA 27%;Imp. Neto Gravado IVA 27%;Imp. Neto Gravado Total;Imp. Neto No Gravado;Imp. Op. Exentas;Otros Tributos;Total IVA;Imp. Total;TotalVenta;Anio;Anio_ajuste;Mes_ajuste;IPC_fila;Coef_Deflactor;TotalVenta_Real;TotalVenta_Nominal
2023-01-09;2023;1;1;30657033770;Sin cliente;0;0;1113;5304;0;0;5304;0;0;0;1113;8107;8107;2023;2023;1;1.06;7.779718450816378;63070;8107
2023-01-09;2023;1;1;30657033770;Sin cliente;5569;53040;13356;63600;0;0;116640;0;0;0;18925;135565;135565;2023;2023;1;1.06;7.779718450816378;1054658;135565
2023-01-10;2023;1;1;30657033770;Sin cliente;0;0;1468;6994;0;0;6994;0;0;0;1468;9162;9162;2023;2023;1;1.06;7.779718450816378;71278;9162
2023-01-10;2023;1;1;30657033770;Sin cliente;0;0;7383;35160;0;0;35160;0;0;0;7383;42543;42543;2023;2023;1;1.06;7.779718450816378;330973;42543
2023-01-10;2023;1;1;30657033770;Sin cliente;0;0;13860;66000;0;0;66000;0;0;0;13860;84480;84480;2023;2023;1;1.06;7.779718450816378;657231;84480
2023-01-10;2023;1;1;30657033770;Sin cliente;0;0;2317;11036;0;0;11036;0;0;0;2317;14126;14126;2023;2023;1;1.06;7.779718450816378;109896;14126
2023-01-11;2023;1;1;30657033770;Sin cliente;0;0;1562;7438;0;0;7438;0;0;0;1562;9298;9298;2023;2023;1;1.06;7.779718450816378;72336;9298
2023-01-11;2023;1;1;30657033770;Sin cliente;0;0;9814;46735;0;0;46735;0;0;0;9814;56550;56550;2023;2023;1;1.06;7.779718450816378;439943;56550
2023-01-11;2023;1;1;30657033770;Sin cliente;0;0;26088;124231;0;0;124231;0;0;0;26088;155288;155288;2023;2023;1;1.06;7.779718450816378;1208097;155288
2023-01-12;2023;1;1;30657033770;Sin cliente;0;0;1891;9008;0;0;9008;0;0;0;1891;10900;10900;2023;2023;1;1.06;7.779718450816378;84799;10900
2023-01-12;2023;1;1;30657033770;Sin cliente;0;0;13268;63183;0;0;63183;0;0;0;13268;76452;76452;2023;2023;1;1.06;7.779718450816378;594775;76452
2023-01-12;2023;1;1;30657033770;Sin cliente;0;0;2721;12961;0;0;12961;0;0;0;2721;15683;15683;2023;2023;1;1.06;7.779718450816378;122009;15683
2023-01-12;2023;1;1;30657033770;Sin cliente;831;7920;1184;5640;0;0;13560;0;0;0;2016;15576;15576;2023;2023;1;1.06;7.779718450816378;121177;15576
2023-01-12;2023;1;1;30657033770;Sin cliente;0;0;1413;6732;0;0;6732;451;0;201;1413;8806;8806;2023;2023;1;1.06;7.779718450816378;68508;8806
2023-01-12;2023;1;1;30657033770;Sin cliente;0;0;0;0;1223;4532;4532;0;0;0;1223;5937;5937;2023;2023;1;1.06;7.779718450816378;46188;5937
2023-01-12;2023;1;1;30657033770;Sin cliente;0;0;0;0;632;2341;2341;0;0;0;632;3066;3066;2023;2023;1;1.06;7.779718450816378;23853;3066
2023-01-12;2023;1;1;30657033770;Sin cliente;0;0;318;1515;0;0;1515;101;0;0;318;1936;1936;2023;2023;1;1.06;7.779718450816378;15062;1936
